index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
2171,Tom Clancy's Ghost Recon: Future Soldier,PS3,2012.0,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95,79.0,18.0,6.9,156.0,Ubisoft Paris,M
2181,Lost Planet 2,PS3,2010.0,Shooter,Capcom,0.29,0.33,0.2,0.13,0.95,68.0,56.0,6.9,62.0,Capcom,T
2188,Star Fox 64 3D,3DS,2011.0,Shooter,Nintendo,0.48,0.27,0.13,0.06,0.94,81.0,65.0,8.2,231.0,Nintendo,E10+
2192,Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84.0,27.0,7.7,314.0,Ubisoft Toronto,M
2209,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,CyberConnect2,T
2215,White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,Level 5,T
2225,Bayonetta,X360,2009.0,Action,Sega,0.51,0.25,0.09,0.08,0.93,90.0,86.0,8,597.0,PlatinumGames,M
2229,Kingdom Hearts Re:coded,DS,2010.0,Role-Playing,Square Enix,0.53,0.09,0.27,0.05,0.93,66.0,58.0,7,76.0,"Square Enix, h.a.n.d. Inc.",E10+
2246,Phoenix Wright: Ace Attorney,DS,2005.0,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,81.0,53.0,9.2,203.0,Capcom,T
2262,Blue Dragon,X360,2006.0,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79.0,56.0,7.8,161.0,"Mistwalker, Artoon",T
2264,Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.91,74.0,21.0,8.2,62.0,Marvelous AQL,E
2274,Tokyo Xtreme Racer 3,PS2,2003.0,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63.0,15.0,8.9,23.0,Genki,E
2275,Xenoblade Chronicles,Wii,2010.0,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92.0,59.0,8.9,950.0,Monolith Soft,T
2279,Dynasty Warriors 7,PS3,2011.0,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,25.0,7.4,57.0,Omega Force,T
2287,Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76.0,42.0,6.5,53.0,Codemasters,M
2289,Lost Odyssey,X360,2007.0,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9,78.0,68.0,8.3,432.0,Mistwalker,T
2290,Street Fighter V,PS4,2016.0,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77.0,80.0,3.4,1221.0,Capcom,T
2336,Ace Combat 2,PS,1997.0,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,Namco,T
2340,Resistance: Retribution,PSP,2009.0,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89,81.0,67.0,8.1,84.0,Sony Bend,M
2363,Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78.0,52.0,8.3,144.0,Square Enix,T
2368,Resident Evil: Revelations,3DS,2012.0,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,397.0,Capcom,M
2389,Phantasy Star Portable 2,PSP,2009.0,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69.0,27.0,8.1,35.0,Alfa System,T
